Moniker,Address,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-,laconic17rzfujtx66ewy3l645ynj7hpc74aux9jhl8ur8,1075,0,0,8,25,60,54,42,60,60,0,50,0,600,116,0,0,0,0,0,0
-,laconic1gqzpr9k22navgzreyfsze32p03mjz0j6evjuj0,994,0,0,8,40,60,42,18,60,60,0,50,0,600,56,0,0,0,0,0,0
-,laconic16v0lazxvmccs0893g58fqa65m6344dlcpxrvs0,880,0,0,4,20,60,45,42,24,21,0,50,0,600,14,0,0,0,0,0,0
-,laconic1xhaypaj6w2etkxkdaxvkurkrvhghq7upzs50vj,872,0,0,4,10,60,3,3,60,60,0,30,0,600,42,0,0,0,0,0,0
-,laconic1f7tursd29yrk3mnys3javqngraj5ls7k5h3vvv,861,0,0,4,25,60,24,15,33,30,0,50,0,600,20,0,0,0,0,0,0
-,laconic1ylkv9ymdacumhnr6f7xdhrcvn7vxmgk4qk6adh,842,0,0,4,15,60,6,3,39,39,0,50,0,600,26,0,0,0,0,0,0
-,laconic1zmzezvhlkhccvvej2sekvhyqseh6vhhqldeahm,839,0,0,4,15,60,3,3,39,39,0,50,0,600,26,0,0,0,0,0,0
-,laconic1rs2s2wz2mgtur3fsu9wlnmsf0zvrcm63cmqmsg,808,0,0,40,35,42,21,12,3,3,0,50,0,600,2,0,0,0,0,0,0
-,laconic15twrppy7udkzd5vnd5cxghe0stddrs0ndd4mv0,735,0,0,4,10,33,3,3,12,12,0,50,0,600,8,0,0,0,0,0,0
-,laconic1s8fqsj548sr86n4mwmdahyzyduxf5f9tkav9e7,721,0,0,4,10,27,3,3,9,9,0,50,0,600,6,0,0,0,0,0,0
-,laconic1j7mrlxech8qad2whzal6te73m4rsh59uwg0pdt,172,0,0,40,35,36,36,15,0,0,0,10,0,0,0,0,0,0,0,0,0
-,laconic15t9kahzjza50772k7s2j78f0ptndqfwvfgrgq9,120,0,0,24,10,33,18,15,0,0,0,20,0,0,0,0,0,0,0,0,0
-,laconic195fw5924wajlg4u54m7y9z52dv906qhqtaayrs,94,0,0,4,10,12,15,3,0,0,0,50,0,0,0,0,0,0,0,0,0
-,laconic1ff55lvklhd2y3p56c70gkyjjdxr5srnyrtj253,61,0,0,16,5,12,12,6,0,0,0,10,0,0,0,0,0,0,0,0,0
-,laconic1w78xscjjjp4ygm7y0tkz5frqrhks5gw9r7hqqu,39,0,0,4,10,9,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0
-,laconic18uc9h349nd0w62vnleu8ywu3sur7ly0kdsgmg3,24,0,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,laconic18cd03t0zvaxuv5vz0tdyyxctw5jffrj7mggk6n,14,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,laconic1256aqyag45x84usd6xj053musfcql74j4j3ll3,9,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
