Moniker,Address,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
BlackBlocks,laconic128vt4we3s044zycwydz9f6amzrlp7r6lnputdg,4518,400,30,40,50,40,40,40,40,40,4,50,300,600,1784,60,0,0,0,0,0,1000
silent,laconic1256aqyag45x84usd6xj053musfcql74j4j3ll3,3594,400,0,40,50,40,40,40,40,40,40,50,300,600,1844,70,0,0,0,0,0,0
KenZ,laconic16v0lazxvmccs0893g58fqa65m6344dlcpxrvs0,3322,400,0,28,50,40,40,40,40,40,2,50,300,600,1682,10,0,0,0,0,0,0
stake-machine,laconic195fw5924wajlg4u54m7y9z52dv906qhqtaayrs,2934,400,100,8,40,40,40,36,40,40,0,50,0,600,1490,50,0,0,0,0,0,0
ellipfra,laconic1axg567nvu92un33z6z547n7klkeq6ud37pwz35,2908,400,0,40,10,40,40,28,40,40,0,50,0,600,1550,70,0,0,0,0,0,0
laconicbarg01,laconic1mjzrgc8ucspjz98g76c8pce026l5newrujetx0,2790,400,60,40,20,40,28,24,40,40,0,50,0,600,1368,80,0,0,0,0,0,0
spidey,laconic1a2h0eck0dra2fu9xcama9rrygncjc30ex35ly5,2697,400,0,40,15,40,40,40,40,40,0,50,0,600,882,10,0,0,0,0,0,500
rxpwnz,laconic19h70dln5ktxpc8mcam5nm22glr7h9qtlzvvrtq,2656,400,50,40,50,40,40,40,40,40,40,50,300,600,876,50,0,0,0,0,0,0
DreamGallery,laconic1f9j8n9rqsekzp0rffe3298pytms4hfz20khge3,2620,400,0,40,50,40,40,40,40,40,40,50,300,600,900,40,0,0,0,0,0,0
dragonZ,laconic1f7tursd29yrk3mnys3javqngraj5ls7k5h3vvv,2350,400,70,16,50,40,40,28,40,40,0,50,300,600,676,0,0,0,0,0,0,0
wavefive,laconic1dx3jyjfpcwdwufj5uuufk84f5ugm5h4wf3jsl2,2216,400,90,40,50,40,40,40,40,40,0,50,0,600,346,90,350,0,0,0,0,0
yandc,laconic14vzrlac5zte5nju9fm0ktzfz7e4zss74f6lpzx,1970,400,0,40,50,40,34,28,40,40,0,20,0,600,658,20,0,0,0,0,0,0
Mekong_Labs,laconic195s2w429xuxqagkz54n55dcpfz4nwl0k62qnet,1794,400,0,40,50,40,40,40,40,40,40,50,300,600,24,40,50,0,0,0,0,0
Rysiman,laconic1gqzpr9k22navgzreyfsze32p03mjz0j6evjuj0,1777,400,80,12,45,40,40,18,40,40,2,50,0,600,410,0,0,0,0,0,0,0
hamzak,laconic1ylkv9ymdacumhnr6f7xdhrcvn7vxmgk4qk6adh,1694,400,0,36,50,40,6,4,40,40,0,20,0,600,458,0,0,0,0,0,0,0
Jonygel,laconic1jmxg7dzyhcdya2j4heum8us62hf7s800m3vd80,1591,400,0,40,45,40,4,4,40,40,0,50,0,600,318,10,0,0,0,0,0,0
SilverSurfer,laconic1xhaypaj6w2etkxkdaxvkurkrvhghq7upzs50vj,1587,400,0,32,45,40,30,24,40,40,0,50,0,600,286,0,0,0,0,0,0,0
CalvinJoe,laconic1nmuxuz3z2xj5fqf2sz5nn0u2r2al7mutsl8pm7,1580,400,0,36,50,40,2,2,40,40,0,20,0,600,340,10,0,0,0,0,0,0
TLanderon,laconic1x0rgcutlsqpnza9c3xn94mcxjmuc3ta05cyq32,1551,400,0,32,35,40,4,4,40,40,0,20,0,600,326,10,0,0,0,0,0,0
BlockShield,laconic1fnstpxgfmj0nrr9werc8vufvlh3wxcd3lfuq2y,1534,400,0,32,40,40,4,4,40,40,0,20,0,600,314,0,0,0,0,0,0,0
robsberry,laconic10vuf74jng58az05pmwrhxxjhzu9q2q27stzq5v,1529,400,0,32,35,40,4,4,40,40,0,40,0,600,284,10,0,0,0,0,0,0
Dremling,laconic1zrk7h7629td9r0tm946ll94mdpzq6cmgvjytz9,1528,400,0,32,50,40,6,6,40,40,0,40,0,600,274,0,0,0,0,0,0,0
